x     calculated value  analytical value        error(%)
0.02     0.0317          0.0317          1.3215122677587392e-07
0.041    0.0633          0.0633          7.027478188561293e-07
0.061    0.0951          0.0951          3.658087600998143e-07
0.082    0.1268          0.1268          3.839649435160874e-07
0.102    0.1587          0.1587          8.455647556204416e-07
0.122    0.1906          0.1906          4.5087249185062784e-08
0.143    0.2227          0.2227          6.407745116545801e-07
0.163    0.2549          0.2549          4.1079145155153276e-07
0.184    0.2873          0.2873          4.0344875933661293e-07
0.204    0.3198          0.3198          7.925078355847698e-07
0.224    0.3525          0.3525          5.994084513366555e-08
0.245    0.3854          0.3854          7.016160477412022e-07
0.265    0.4186          0.4186          4.1631121324888994e-07
0.286    0.452   	0.452	   4.3676152870953185e-07
0.306    0.4857          0.4857          7.073672805865858e-07
0.327    0.5197          0.5197          2.0539349995177223e-07
0.347    0.554   	0.554	   7.940407746401699e-07
0.367    0.5886          0.5886          4.28695263507821e-07
0.388    0.6237          0.6237          4.563639765249741e-07
0.408    0.6591          0.6591          5.889442523697347e-07
0.429    0.6949          0.6949          3.816223254736595e-07
0.449    0.7312          0.7312          9.103187109553028e-07
0.469    0.768   	0.768 	  4.5379247995203373e-07
0.49     0.8052          0.8052          4.5618443875293876e-07
0.51     0.843   	0.843   	4.352148742660436e-07
0.531    0.8813          0.8813          5.8794088878811e-07
0.551    0.9202          0.9202          1.0487514972267462e-06
0.571    0.9598          0.9598          4.933071558765715e-07
0.592    0.9999          0.9999          4.3222697939362945e-07
0.612    1.0408          1.0408          2.436025078513883e-07
0.633    1.0824          1.0824          8.252328333270733e-07
0.653    1.1247          1.1247          1.2087538496515066e-06
0.673    1.1678          1.1678          5.481283180878048e-07
0.694    1.2117          1.2117          3.802281082736891e-07
0.714    1.2565          1.2565          1.1276234827347092e-08
0.735    1.3022          1.3022          1.094545882061796e-06
0.755    1.3488          1.3488          1.3898592981109746e-06
0.776    1.3965          1.3965          6.190523864492173e-07
0.796    1.4451          1.4451          2.950911621134191e-07
0.816    1.4949          1.4949          2.645282793100557e-07
0.837    1.5458          1.5458          1.3965624093599676e-06
0.857    1.5978          1.5978          1.591390305032415e-06
0.878    1.6511          1.6511          7.07020630905101e-07
0.898    1.7057          1.7057          1.7071912795993375e-07
0.918    1.7616          1.7616          5.861754584115647e-07
0.939    1.8189          1.8189          1.7312929827412752e-06
0.959    1.8777          1.8777          1.8123159405736814e-06
0.98     1.9381          1.9381          8.132248574466772e-07
1.0      2.0     	2.0     		0.0
